Welches war das erste Haustier des Menschen?;Hund;Tiere;51
Welches Tier Produziert Seide?;Die Seidenraupe;Tiere;52
Wovon ern„hren sich Maulwrfe?;Haupts„chlich von Wrmern und Insekten;Tiere;53
Ist es Wahr, dass eine Kreuzung aus Ziege und Schaf >>Schiege<< genannt wird?;Ja, das ist Wahr. Der Fall kommt aber in der Natur nur selten vor;Tiere;54
Leben Fchse im Rudel oder sind sie Einzelg„nger?;Fchse geh”ren zwar zu den Hundeartigen Tieren, sind aber Einzlg„nger;Tiere;55
Auf welchen Kontinent leben Tiger?;Asien;Tiere;56
Wie nennt man die Muttertiere bei Wildschweinen? ;Bache;Tiere;57
Welches Tier wird im M„rchen zum Prinzen, als es an die Wand geworfen wird,;der Frosch (In der Froschk”nig);Tiere;58
Wie heiáen die drei Hauptgangarten des Pferdes?;Schritt, Trab und Galopp;Tiere;59
Mit welchen Tier vergleicht man Menschen die sehr Stur sind - sie sind St”rrisch wie ein ??;Esel;Tiere;60
Sch„tzfrage: Wie alt k”nnen Giraffen werden?;in der Wildnis ca. 25 Jahre, in Gefangenschaft bis zu 35 Jahre;Tiere;61
Welches Tier heiát in der Fabel >>Adebar<< ?;Storch;Tiere;62
Leben Pinguine am Nordpol oder Sdpol?;am Sdpol;Tiere;63
Mauersegler sind V”gel, die „uáerlich den Schwalben „hneln und die Brutsaison in Mitteleuropa verbringen.Stimmt es dass sich diese V”gel ber mehrere Monate hinweg ununterbrochen in der Luft aufhalten k”nnen?;Ja, das ist richtig;Tiere;64
Das Maultier ist eine kreuzung welcher Tiere?;Aus einer Pferdestute und einem Eselhengst;Tiere;65
šber einen Menschen, der besonders empfindlich und Hellh”rig ist, sagt man: >>Er h”rt die Fl”he ? <<?;Husten;Tiere;66
Sch„tzfrage: Wie lange tr„gt eine Elefantenkuh ;20-22 Monate;Tiere;67
Welcher Fisch liefert den den begehrten Kaviar?;Der St”r;Tiere;68
Wie lange h„lt der Siebenschl„fer Winterschlaf?;Sieben Monate - daher auch der Name;Tiere;69
Wie nennt man ein weibliches Pferd?;Stute;Tiere;70
Welchen beinamen hat die Elster im Volksmund;die Diebische Elster ;Tiere;71
Wie lautet ein bekanntes Sprichwort: >>In der Nacht sind alle Katzen ?<< ;Grau;Tiere;72
Welches Tier verbirgt sich hinter der Bezeichnung Skunk;Das Stinktier;Tiere;73
Ist die Ringelnatter eine Giftschlange?;Nein, sie ist fr den Menschen komplett ungef„hrlich;Tiere;74
Welche Farbe haben Flamingos?;Rosa;Tiere;75
Sch„tzfrage: Wie alt k”nnen Goldfische werden?;bis zu 40 Jahren;Tiere;76
Welche besondere Eigenschaft wird dem Fuchs zugesprochen;Man sagt das der Fuchs besonders schlau bzw. Listig sei;Tiere;77
Woraus bestehen die Stoáz„hne von Elefanten?;aus Elfenbein;Tiere;78
Welches Tier wird dem Rotk„ppchen und seiner Groámutter im M„rchen gef„hrlich?;der Wolf;Tiere;79
Wie nennt man die Nester von Adlern?;Horst;Tiere;80
Was fr ein Tier ist der Pillendreher?;ein K„fer;Tiere;81
Wie heiát der Spruch: >>Eine Kr„he hackt der anderen ? <<?;kein Auge aus;Tiere;82
Welche Farbe hat ein Feuersalamander?;Schwarz mit gelben Flecken;Tiere;83
Stimmt es, dass in Groábritannien fast alle Schw„ne des landes der K”nigen geh”ren?;Ja, das ist per Gesetz verankert;Tiere;84
Aus welchen Material besteht ein Hirschgeweih?;aus Knochen;Tiere;85
Wie lange kann eine Zecke ohne Nahrung(Blut) berleben?;bis zu 10 Jahren;Tiere;86
Wie nennt man den Nachwuch von Hunden?;Welpen;Tiere;87
Wozu dient der Beuter von Beuteltieren?;zur Aufzucht der Jungtiere;Tiere;88
Sch„tzfrage: Wie Groá ist der kleinste Vogel der Welt? Tipp Kann auch mit den Fingern gezeichnet werden.;Der kleinste Vogel ist eine Kolibriart (Bienenelfe) und misst nur ca. 6 Zentimeter;Tiere;89
In welchen K”rperteil haben Schmetterlinge ihren Geschmackssinn?;In den Beinen;Tiere;90
Wie nennt man ein weibliches Reh?;Ricke;Tiere;91
šber eine Frau, die andere hintergeht, sagt man auch>> Sie ist eine falsche ?<<;Schlange;Tiere;92
Ist der Kabeljau ein Sá- oder Salzwasserfisch?;ein Salzwasserfisch;Tiere;93
Stimmt es dass der gr”áte Schmetterling der Welt eine Flgelspannweite von ber 80 Zentimetern erreichen kann?;Nein, der Atlasspinner gilt asl der Gr”áte Schmetterling, hat aber eine maximale Flgelspannweite von ca. 30 Zentimeter;Tiere;94
Welche Farbe hat ein Pandab„r?;schwarz und Weiá;Tiere;95
Wie endet das Sprichwort: >> Ein blindes Huhn findet ? <<? ;auch einmal ein Korn;Tiere;96
Welche Tiere enstehen aus Kaulquappen?;Fr”sche;Tiere;97
Sch„tzfrage: Wie alt k”nnen Hummeln werden?;Drohnen und Arbeiter erreiche meist nur ein Alter von drei bis 4 Wochen, K”niginnen leben bis zu einen Jahr;Tiere;98
Ist es wahr dass bei den Seepferdchen die M„nnchenden Nachwuch geb„ren?;Ja;Tiere;99
Was ist ein T”lper?;Ein Vogel;Tiere;100
