Wie heißt die Balkonblume die man hierzulande am häufigsten sieht?	Geranien (botanisch: Pelargonien=	HausGarten	1
Wie wurden Teppiche gereinigt, bevor es staubsauger gab?	Die wurden im freien mit den Teppichklopfer ausgeklppft.	HausGarten	2
Mit welchen Hausmittel lassen sich Kalkablagerungen besonders effektiv entfernen? Tipp: Wird auch gerne in Salaten verwendet	Essig	HausGarten	3
Aus Kostengründen wurden kaputte Kleidungsstücke früher immer wieder ausgebessert und geflickt. Mit welcher Technik reparierte man löcher in Socken?	durch Stopfen mit Wolle (Oder Garn) und Stopfnadel	HausGarten	4
Womit werden Dächer z.B. an der Nord und Ostseeküste häufig gedeckt?	Schilf oder Reet (Reetdach)	HausGarten	5
Welche Obstbaumsorte kommt in Deutschland am häufigsten vor?	Apfelbäume	HausGarten	6
Wie heißen die kleinen Figuren mit meist roter Zipfelmütze, die gerne in Gärten aufgestellt werden?	Gartenzwerge	HausGarten	7
Welche besonders edel wirkenden Deckenlampen werden auch als Lüster bezeichnet ?	Kronleuchter	HausGarten	8
Früher wurden Fußböden häufig gebohnert. Was versteht man unter den Begriff?	Der Fußboden wird mit Wachs versiegelt und anschließend poliert	HausGarten	9
Welche Kräutersäckchen werden gerne als Duftspender und als Mottenschutz in den Kleiderschrank gehängt?	Laverndersäckchen	HausGarten	10
Welcher immergrüne Strauch ist in unseren Heimischen Gärten als niedrige Heckpflanze sehr beliebt?	Buchsbaum	HausGarten	11
Wie nennt man umgangssprachlich Toiletten die keine Wasserspülung besitzen?	Plumpsklo	HausGarten	12
Mit welcher Handarbeit verzierten Frauen früher häufig Tischdecken und Kissen?	Stickerei	HausGarten	13
Welcher Handwerker kommt regelmäßig ins Haus, um Heizungsanlagen zu überprüfen und zu reinigen?	Schornsteinfeger oder Kaminkehrer	HausGarten	14
Wie heißen die Zwicker die gewaschene Wäsche auf der Leine halten?	Wäscheklammern	HausGarten	15
Was wird in den warmen Jahreszeiten in vielen Gärten aufgestellt, um Schatten zu spenden?	Sonnenschirm	HausGarten	16
Wie nennt man die große Reinigungsaktion die in den meisten Haushalten nach der kalten Jahreszeit durchgeführt wird	Frühjahrsputz	HausGarten	17
Welche Abteile werden in Nutzgärten meist eingeteilt?	Beete	HausGarten	18
Wann erntet man Spargel?	Im Frühling (ca. April bis Juni)	HausGarten	19
In welchen Geschoss eines Hauses werden gerne Lagerräume, Waschküche und Ähnliches untergebracht	im Keller	HausGarten	20
Womit kann man Balkon- und Gartenpflanzen behandeln, um ein schnelleres Wachstum und größere Erträge zu erzielen?	Düngemittel	HausGarten	21
Wie heißt das Wasserfeste Boden- und Wandverkleidung, die meistens in Bädern verwendet wird?	Fliesen bzw Kacheln	HausGarten	22
Welches beliebte elektrische Haushaltsgerät brachte die Firma Constructa Anfang der 50er Jahre auf den Markt?	den ersten Waschvollautomaten für den Haushalt	HausGarten	23
Bei welcher Temperatur wäscht man Bettwäsche in der Regel?	Heute meist bei 60°C, früher häufig bei 90°C	HausGarten	24
In heimischen Gärten werden gerne Gurken angebaut, Stimmt es, dass eine Gurke zu 96% aus Wasser besteht ?	Ja	HausGarten	25
Welche Grünpflanze ziehen viele Hobbyköche auf der Fensterbank, um damit jederzeit Speisen verfeinern zu können?	Kräuter (Petersilie, Basilikum, Schnittlauch)	HausGarten	26
Womit schützt man sich in der Küche beim Anfassen heißer Töpfe vor Verbrennungen?	mit Topflappen	HausGarten	27
Eine beliebte Tätigkeit bei Frauen war früher das Herstellen von Teppichen mittels Stramin und Wollfäden. Wie nennt man diese Technik?	 Knüpfen	HausGarten	28
Was stellt man im Winter gerne im Garten auf, um Vögeln das Überwintern zu erleichtern	Vogelhäuschen	HausGarten	29
Wie wurden Lebenmittel kühl gehalten bevor es Kühlschränke gab?	Durch die Lagerung im Keller etwa, in Erdlöchern im Garten oder in nahe liegenden gewässern (Teiche, Bächen etc.)	HausGarten	30
Welche kleinen Tierchen schleichen sich gerne in die Vorratskammern und knabbern dort sämtliche Leckereien an?	Mäuse	HausGarten	31
Mit welchen Werkzeugen kann man Holz zerteile?	Säge, Beil, Axt	HausGarten	32
Wie heißt die Platzsparende Sitzgelegenheit, die in Küchen sehr beliebt ist und auf der notfalls zusammengerückt werden kann, um Raum für Gäste zu schaffen?	Eckbank	HausGarten	33
Die Grüne Bohne ist eine recht anspruchslose Gartenpflanze und verspricht eine reichliche Ernte. Was sollte man aber vor dem Verzehr der Bohnen unbedingt beachten?	Die Bohnen sollten vor verzehr unbedingt gekocht werden, da sie Roh giftig sind.	HausGarten	34
Die Firma AEG war Lange Zeit eine ein beliebter Herstellen von Elektrogeräten. Mit welchen Spruch bewarb sie ihre Produkte?	AEG - Aus Erfahrung Gut	HausGarten	35
Von welchen Kontinent stammt die Kartoffel ursprünglich?	Südamerika	HausGarten	36
Welchen Haufen legen Hobbygärtner meistens an um Pflanzlichen Abfall zu verwerten?	Kompost	HausGarten	37
Fenster werden gerne mit Gardinen geschmückt. Welche Einrichtungen zum Sicht und Sonnenschutz an Festern gibt es noch?	z.B. Rollos, Jalousinen Fensterläden, Rolläden	HausGarten	38
1920 brachte die Firma Henkel das Produkt >> ATA << auf dem Markt. Was verbirgt sich hinten den Namen?	Ein Scheuermittel	HausGarten	39
Welches Material wurde häufig zur Herstellung von Kochtöpfen verwendet, bevor Aliuminium und Edelstahl zum Einsatz kamen?	Emaillie	HausGarten	40
Wie werden die kleinen Häuschen in Schrebergärten meist gennant?	Laube	HausGarten	41
Clemens Wilmenrod hatte ab 1953 großen Einfluss in deutschen Küchen. Wodurch wurde er bekannt?	Als Fernsehkoch 	HausGarten	42
Welche Winzigen Fischchen halten sich gerne in Bädern auf, können aber nocht Schwimmen?	Silberfischchen	HausGarten	43
Wie heißt das Gartegerät, mit dem man Erde umgräbt?	Spaten	HausGarten	44
Womit kann man das Inventar eines Haushaltes gegen Schäden schützen, die z.B.durch Sturm, Feuer oder Einbruchdiebstahl entstehen?	Durch eine Hausratsversicherung	HausGarten	45
Welchen Süßen Brotaufstrich kochen viele Hausfrauen am liebsten selbst ein?	Marmelade	HausGarten	46
Welches Tierische Abfallprodukt - besonders von Pferden und Kühen - wird von vielen Gärtnern als natürlicher Dünger geschätzt?	Mist	HausGarten	47
In den 1950er-Jahren brachte die Firma Philips ein Produkt mit dem Namen >>Scher Mann<< auf den Markt. Worum handelte es sich dabei?	Ein Trockenrasierer für Herren	HausGarten	48
Welche massiven, oft reich verzierten Öfen standen früher in vielen Wohnzimmern?	Kachelöfen	HausGarten	49
Wann wird Grünkohl geerntet?	Im Winter, nach dem ersten Frost	HausGarten	50
Welches war das erste Haustier des Menschen?	Hund	Tiere	51
Welches Tier Produziert Seide?	Die Seidenraupe	Tiere	52
Wovon ern„hren sich Maulwrfe?	Haupts„chlich von Wrmern und Insekten	Tiere	53
Ist es Wahr, dass eine Kreuzung aus Ziege und Schaf >>Schiege<< genannt wird?	Ja, das ist Wahr. Der Fall kommt aber in der Natur nur selten vor	Tiere	54
Leben Fchse im Rudel oder sind sie Einzelg„nger?	Fchse geh”ren zwar zu den Hundeartigen Tieren, sind aber Einzlg„nger	Tiere	55
Auf welchen Kontinent leben Tiger?	Asien	Tiere	56
Wie nennt man die Muttertiere bei Wildschweinen? 	Bache	Tiere	57
Welches Tier wird im M„rchen zum Prinzen, als es an die Wand geworfen wird,	der Frosch (In der Froschk”nig)	Tiere	58
Wie heiáen die drei Hauptgangarten des Pferdes?	Schritt, Trab und Galopp	Tiere	59
Mit welchen Tier vergleicht man Menschen die sehr Stur sind - sie sind St”rrisch wie ein ??	Esel	Tiere	60
Sch„tzfrage: Wie alt k”nnen Giraffen werden?	in der Wildnis ca. 25 Jahre, in Gefangenschaft bis zu 35 Jahre	Tiere	61
Welches Tier heiát in der Fabel >>Adebar<< ?	Storch	Tiere	62
Leben Pinguine am Nordpol oder Sdpol?	am Sdpol	Tiere	63
Mauersegler sind V”gel, die „uáerlich den Schwalben „hneln und die Brutsaison in Mitteleuropa verbringen.Stimmt es dass sich diese V”gel ber mehrere Monate hinweg ununterbrochen in der Luft aufhalten k”nnen?	Ja, das ist richtig	Tiere	64
Das Maultier ist eine kreuzung welcher Tiere?	Aus einer Pferdestute und einem Eselhengst	Tiere	65
šber einen Menschen, der besonders empfindlich und Hellh”rig ist, sagt man: >>Er h”rt die Fl”he ? <<?	Husten	Tiere	66
Sch„tzfrage: Wie lange tr„gt eine Elefantenkuh 	20-22 Monate	Tiere	67
Welcher Fisch liefert den den begehrten Kaviar?	Der St”r	Tiere	68
Wie lange h„lt der Siebenschl„fer Winterschlaf?	Sieben Monate - daher auch der Name	Tiere	69
Wie nennt man ein weibliches Pferd?	Stute	Tiere	70
Welchen beinamen hat die Elster im Volksmund	die Diebische Elster 	Tiere	71
Wie lautet ein bekanntes Sprichwort: >>In der Nacht sind alle Katzen ?<< 	Grau	Tiere	72
Welches Tier verbirgt sich hinter der Bezeichnung Skunk	Das Stinktier	Tiere	73
Ist die Ringelnatter eine Giftschlange?	Nein, sie ist fr den Menschen komplett ungef„hrlich	Tiere	74
Welche Farbe haben Flamingos?	Rosa	Tiere	75
Sch„tzfrage: Wie alt k”nnen Goldfische werden?	bis zu 40 Jahren	Tiere	76
Welche besondere Eigenschaft wird dem Fuchs zugesprochen	Man sagt das der Fuchs besonders schlau bzw. Listig sei	Tiere	77
Woraus bestehen die Stoáz„hne von Elefanten?	aus Elfenbein	Tiere	78
Welches Tier wird dem Rotk„ppchen und seiner Groámutter im M„rchen gef„hrlich?	der Wolf	Tiere	79
Wie nennt man die Nester von Adlern?	Horst	Tiere	80
Was fr ein Tier ist der Pillendreher?	ein K„fer	Tiere	81
Wie heiát der Spruch: >>Eine Kr„he hackt der anderen ? <<?	kein Auge aus	Tiere	82
Welche Farbe hat ein Feuersalamander?	Schwarz mit gelben Flecken	Tiere	83
Stimmt es, dass in Groábritannien fast alle Schw„ne des landes der K”nigen geh”ren?	Ja, das ist per Gesetz verankert	Tiere	84
Aus welchen Material besteht ein Hirschgeweih?	aus Knochen	Tiere	85
Wie lange kann eine Zecke ohne Nahrung(Blut) berleben?	bis zu 10 Jahren	Tiere	86
Wie nennt man den Nachwuch von Hunden?	Welpen	Tiere	87
Wozu dient der Beuter von Beuteltieren?	zur Aufzucht der Jungtiere	Tiere	88
Sch„tzfrage: Wie Groá ist der kleinste Vogel der Welt? Tipp Kann auch mit den Fingern gezeichnet werden.	Der kleinste Vogel ist eine Kolibriart (Bienenelfe) und misst nur ca. 6 Zentimeter	Tiere	89
In welchen K”rperteil haben Schmetterlinge ihren Geschmackssinn?	In den Beinen	Tiere	90
Wie nennt man ein weibliches Reh?	Ricke	Tiere	91
šber eine Frau, die andere hintergeht, sagt man auch>> Sie ist eine falsche ?<<	Schlange	Tiere	92
Ist der Kabeljau ein Sá- oder Salzwasserfisch?	ein Salzwasserfisch	Tiere	93
Stimmt es dass der gr”áte Schmetterling der Welt eine Flgelspannweite von ber 80 Zentimetern erreichen kann?	Nein, der Atlasspinner gilt asl der Gr”áte Schmetterling, hat aber eine maximale Flgelspannweite von ca. 30 Zentimeter	Tiere	94
Welche Farbe hat ein Pandab„r?	schwarz und Weiá	Tiere	95
Wie endet das Sprichwort: >> Ein blindes Huhn findet ? <<? 	auch einmal ein Korn	Tiere	96
Welche Tiere enstehen aus Kaulquappen?	Fr”sche	Tiere	97
