In welchem Monat wird der Muttertag gefeiert?;im Mai;Familie;1
Wie heißt ein klassisches Familienspiel: Mensch?;Mensch, ärgere dich nicht;Familie;2
Welches tragische junge Liebespaar gilt als das berühmteste der Weltliteratur? Tipp: Ihre Geschichte wurde von William Shakespeare zu Papier gebracht.;Romeo und Julia;Familie;3
Welche blonden Zwillingsschwestern feierten besonders in den 1960er- und 1970er-Jahren große Erfolge als Sängerinnen, Tänzerinnen und Schauspielerinnen?;die Kessler-Zwillinge;Familie;4
Worin klebt man gerne Familienfotos ein und lässt Besucher darin blättern?;Fotoalbum;Familie;5
Was hat das Mädel eines verliebten Burschen in einem Volkslied? Mein Mädel hat einen ?;Mein Mädel hat einen Rosenmund und wer ihn küsst, der wird gesund.;Familie;6
Womit vergiftet die Stiefmutter das Schneewittchen im Märchen?;mit einem Apfel;Familie;7
Wie heißt die Familie in der Fernsehserie Ein Herz und eine Seele, deren Oberhaupt Ekel Alfred genannt wird?;Familie Tetzlaff;Familie;8
Wie bezeichnet man das 10-jährige Hochzeitsjubiläum? Tipp: Denken Sie an die Königin der Blumen.;Rosenhochzeit;Familie;9
Welche Verwandten wurden früher mit dem Begriff Oheim bezeichnet?;Bruder und Schwager der Mutter;Familie;10
Der englische König Heinrich VIII. war bekannt für seine zahlreichen Ehen, von denen die meisten katastrophal endeten. Wie oft war der Köig verheiratet?;sechs Mal (2 Ehefrauen wurden hingerichtet, 2 Ehen annulliert, 1 Frau starb und die letzte überlebte den König nur um anderthalb Jahre);Familie;11
Mit welchem tierischen Symbol vor dem Haus wird häufig die Geburt eines Kindes bekannt gegeben?;mit einem Storch;Familie;12
Wie heißen die berühmten Gebrüder Grimm mit Vornamen?;Jakob und Wilhem;Familie;13
Wlchem Beruf gingen die Brüder Thomas und Heinrich Mann nach?;Schriftsteller;Familie;14
An welchem Datum feiert man den Valentinstag, als Tag der Liebenden?;am 14. Februar;Familie;15
Bis zum Beginn des 20. Jahrhunderts war es bei wohlhabenden Frauen teilweise üblich, ihren Nachwuchs von fremden Frauen stillen zu lassen. Wie nannte man diese Frauen?;Ammen;Familie;16
Es war einmal ein treuer Husar ? - mit disen Worten beginnt ein altes Liebeslied. Wie lautet der Text weiter?;Es war einmal ein treuer Husar, der liebt sein Mädchen ein ganzes Jahr. Ein ganzes Jahr und noch viel mehr, die Liebe nahm kein Ende mehr.;Familie;17
Die österreichische Familie Hörbiger hat eine ganze Reihe bekannter Schauspieler hervorgebracht. In welcher verwandtschaftlichen Beziehung stehen Paul und Christiane Hörbiger?;Christiane (geb. 1938) ist die Nichte von Paul Hörbiger (1894 - 1981);Familie;18
Wie lautet ein Sprichwort: Was man erheiratet, muss man nicht ?;Was man erheiratet, muss man nicht erarbeiten.;Familie;19
